sample.name	parental.genotype	sample.description	collection.temp	library.prep.date	index.primer	PCR.cycles	concentration_ng_ul	starting conc	pool	zyg_genotype	sex
17111101	w; opa[2P32e]/HisGFP	NC14+72	21	11/11/17	1	11	16	7.81	pool_2	opa	F
17111102	w; opa[2P32e]/HisGFP	NC14+72	21	11/11/17	2	11	12.1	5.91	pool_2	wt	M
17111103	w; opa[2P32e]/HisGFP	NC14+72	21	11/11/17	3	12	9.62	2.35	pool_2	het	M
17111104	w; opa[2P32e]/HisGFP	NC14+72	21	11/11/17	4	11	11.5	5.62	pool_2	het	F
17111105	w; opa[2P32e]/HisGFP	NC14+72	22	11/11/17	5	11	9.36	4.57	pool_2	het	F
17111106	w; opa[2P32e]/HisGFP	NC14+72	22	11/11/17	6	12	17.9	4.37	pool_2	opa	F
17111107	w; opa[2P32e]/HisGFP	NC14+72	22	11/11/17	7	12	11.6	2.83	pool_2	het	F
17111401	w; opa[2P32e]/HisGFP	NC14+72	22	11/14/17	8	11	17	8.3	pool_1	wt	F
17111402	w; opa[2P32e]/HisGFP	NC14+72	22	11/14/17	10	11	14.7	7.18	pool_1	het	F
17111403	w; opa[2P32e]/HisGFP	NC14+72	22	11/14/17	11	11	18.6	9.08	pool_1	het	F
17111404	w; opa[2P32e]/HisGFP	NC14+72	22	11/14/17	12	11	14.3	6.98	pool_1	het	F
17111405	w; opa[2P32e]/HisGFP	NC14+72	22	11/14/17	13	11	15.8	7.71	pool_1	het	F
17111406	w; opa[2P32e]/HisGFP	NC14+72	22	11/14/17	14	11	19.5	9.52	pool_1	het	F
17111407	w; opa[2P32e]/HisGFP	NC14+72	22	11/14/17	15	11	16.1	7.86	pool_1	het	M
17111501	w; opa[2P32e]/HisGFP	NC14+72	22	11/15/17	16	11	18.1	8.84	pool_1	wt	M
17111502	w; opa[2P32e]/HisGFP	NC14+72	22	11/15/17	17	11	12.3	6.01	pool_1	wt	M
17111503	w; opa[2P32e]/HisGFP	NC14+72	22	11/15/17	18	11	13.9	6.79	pool_1	het	F
17111504	w; opa[2P32e]/HisGFP	NC14+72	22	11/15/17	19	12	17.9	4.37	pool_1	het	M
17111505	w; opa[2P32e]/HisGFP	NC14+72	22	11/15/17	20	12	18.6	4.54	pool_1	wt	M
17111506	w; opa[2P32e]/HisGFP	NC14+72	22	11/15/17	21	12	13.6	3.32	pool_2	opa	M
17111507	w; opa[2P32e]/HisGFP	NC14+72	22	11/15/17	22	12	18.4	4.49	pool_2	het	F
